Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Year_Extracted,g_q1,g_q3,g_iqr,Is_Outlier
877065,375,Nitrogen dioxide (NO2),Mean,ppb,NA,410,Rockaways,Summer 2023,2023-06-01,6.471941886,2023,15.75,24.1425,8.392499999999998,0
874586,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01,9.20653142,2023,7.35,10.2425,2.8925,0
874526,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Summer 2023,2023-06-01,9.640345698,2023,7.35,10.2425,2.8925,0
878163,386,Ozone (O3),Mean,ppb,CD,108,Upper East Side (CD8),Summer 2023,2023-06-01,31.22267347,2023,28.98,33,4.02,0
874876,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,209,Parkchester and Soundview (CD9),Summer 2023,2023-06-01,9.278967207,2023,7.35,10.2425,2.8925,0
876852,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,3,Manhattan,Summer 2023,2023-06-01,16.74988488,2023,15.75,24.1425,8.392499999999998,0
874852,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,411,Bayside and Little Neck (CD11),Summer 2023,2023-06-01,8.718392544,2023,7.35,10.2425,2.8925,0
878205,386,Ozone (O3),Mean,ppb,NA,101,Kingsbridge - Riverdale,Summer 2023,2023-06-01,29.39652856,2023,28.98,33,4.02,0
874496,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,112,Washington Heights and Inwood (CD12),Summer 2023,2023-06-01,9.365247781,2023,7.35,10.2425,2.8925,0
877230,375,Nitrogen dioxide (NO2),Mean,ppb,CD,405,Ridgewood and Maspeth (CD5),Summer 2023,2023-06-01,13.39077372,2023,15.75,24.1425,8.392499999999998,0
874326,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,205,Sunset Park,Summer 2023,2023-06-01,9.149134113,2023,7.35,10.2425,2.8925,0
874837,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,406,Rego Park and Forest Hills (CD6),Summer 2023,2023-06-01,8.719093414,2023,7.35,10.2425,2.8925,0
878174,386,Ozone (O3),Mean,ppb,NA,501502,Northern SI,Summer 2023,2023-06-01,33.09477592,2023,28.98,33,4.02,0
878117,386,Ozone (O3),Mean,ppb,CD,305,East New York and Starrett City (CD5),Summer 2023,2023-06-01,36.56098667,2023,28.98,33,4.02,0
878225,386,Ozone (O3),Mean,ppb,UHF42,305,Upper East Side,Summer 2023,2023-06-01,31.2445346,2023,28.98,33,4.02,0
877251,375,Nitrogen dioxide (NO2),Mean,ppb,CD,412,Jamaica and Hollis (CD12),Summer 2023,2023-06-01,11.3212232,2023,15.75,24.1425,8.392499999999998,0
878227,386,Ozone (O3),Mean,ppb,UHF42,303,East Harlem,Summer 2023,2023-06-01,32.00898429,2023,28.98,33,4.02,0
878209,386,Ozone (O3),Mean,ppb,UHF42,501,Port Richmond,Summer 2023,2023-06-01,32.56097611,2023,28.98,33,4.02,0
878203,386,Ozone (O3),Mean,ppb,NA,103,Fordham - Bronx Pk,Summer 2023,2023-06-01,32.31051756,2023,28.98,33,4.02,0
876882,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Summer 2023,2023-06-01,14.95173654,2023,15.75,24.1425,8.392499999999998,0
874440,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408,Jamaica,Summer 2023,2023-06-01,8.721661525,2023,7.35,10.2425,2.8925,0
878240,386,Ozone (O3),Mean,ppb,UHF42,201,Greenpoint,Summer 2023,2023-06-01,33.7542222,2023,28.98,33,4.02,0
874389,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,207,East Flatbush - Flatbush,Summer 2023,2023-06-01,8.611497961,2023,7.35,10.2425,2.8925,0
878247,386,Ozone (O3),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Summer 2023,2023-06-01,29.39652856,2023,28.98,33,4.02,0
874885,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212,Williamsbridge and Baychester (CD12),Summer 2023,2023-06-01,9.254048723,2023,7.35,10.2425,2.8925,0
874807,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,314,Flatbush and Midwood (CD14),Summer 2023,2023-06-01,8.546253356,2023,7.35,10.2425,2.8925,0
874452,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404,Bayside - Little Neck,Summer 2023,2023-06-01,8.719524695,2023,7.35,10.2425,2.8925,0
874359,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101,Kingsbridge - Riverdale,Summer 2023,2023-06-01,9.265788318,2023,7.35,10.2425,2.8925,0
877107,375,Nitrogen dioxide (NO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2023,2023-06-01,18.70500762,2023,15.75,24.1425,8.392499999999998,0
878230,386,Ozone (O3),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Summer 2023,2023-06-01,35.49941831,2023,28.98,33,4.02,0
877086,375,Nitrogen dioxide (NO2),Mean,ppb,NA,105106107,South Bronx,Summer 2023,2023-06-01,14.34539039,2023,15.75,24.1425,8.392499999999998,0
877194,375,Nitrogen dioxide (NO2),Mean,ppb,CD,311,Bensonhurst (CD11),Summer 2023,2023-06-01,10.75587857,2023,15.75,24.1425,8.392499999999998,0
877098,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Summer 2023,2023-06-01,16.2487256,2023,15.75,24.1425,8.392499999999998,0
878254,386,Ozone (O3),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),Summer 2023,2023-06-01,36.45438978,2023,28.98,33,4.02,0
877164,375,Nitrogen dioxide (NO2),Mean,ppb,CD,301,Greenpoint and Williamsburg (CD1),Summer 2023,2023-06-01,14.72135233,2023,15.75,24.1425,8.392499999999998,0
878118,386,Ozone (O3),Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2023,2023-06-01,34.15035402,2023,28.98,33,4.02,0
