Year_Extracted,Geo Place Name,Name,Data Value
2023,Long Island City - Astoria,Fine particles (PM 2.5),9.441759835
2023,Fordham - Bronx Pk,Fine particles (PM 2.5),9.228735232
2023,Greenpoint,Fine particles (PM 2.5),9.490783626
2023,Fresh Meadows,Fine particles (PM 2.5),8.672409931
2023,Bayside - Little Neck,Ozone (O3),36.88953233
2023,Bedford Stuyvesant - Crown Heights,Fine particles (PM 2.5),8.865704873
2023,Union Square - Lower East Side,Ozone (O3),31.00497205
2023,Willowbrook,Fine particles (PM 2.5),8.471204739
2023,Northeast Bronx,Fine particles (PM 2.5),9.237958876
2023,Lower Manhattan,Ozone (O3),29.88823161
2023,Rockaways,Fine particles (PM 2.5),8.150636732
2023,Northeast Bronx,Ozone (O3),33.69356145
2023,West Queens,Nitrogen dioxide (NO2),15.07775098
2023,East New York,Nitrogen dioxide (NO2),13.58713104
2023,Washington Heights,Fine particles (PM 2.5),9.349919871
2023,Southeast Queens,Fine particles (PM 2.5),8.565160331
2023,Downtown - Heights - Slope,Nitrogen dioxide (NO2),14.02065338
2023,East Flatbush - Flatbush,Ozone (O3),37.25838607
2023,South Beach - Tottenville,Ozone (O3),36.4865784
2023,Gramercy Park - Murray Hill,Ozone (O3),29.47284974
2023,Hunts Point - Mott Haven,Nitrogen dioxide (NO2),14.78510714
2023,Borough Park,Fine particles (PM 2.5),8.616311108
2023,High Bridge - Morrisania,Nitrogen dioxide (NO2),13.96941767
2023,Long Island City - Astoria,Ozone (O3),33.216065
2023,Coney Island - Sheepshead Bay,Nitrogen dioxide (NO2),9.941814031
2023,Washington Heights,Ozone (O3),29.97225632
2023,Long Island City - Astoria,Fine particles (PM 2.5),7.254343634
2023,Lower Manhattan,Fine particles (PM 2.5),7.335354624
2023,Greenwich Village - SoHo,Nitrogen dioxide (NO2),22.06564052
2023,Bayside - Little Neck,Nitrogen dioxide (NO2),14.92994837
2023,Gramercy Park - Murray Hill,Fine particles (PM 2.5),7.7551795
2023,Ridgewood - Forest Hills,Fine particles (PM 2.5),6.726169914
2023,Upper East Side,Fine particles (PM 2.5),6.983049971
2023,Northeast Bronx,Nitrogen dioxide (NO2),14.48039862
2023,Jamaica,Nitrogen dioxide (NO2),15.43229844
2023,Kingsbridge - Riverdale,Nitrogen dioxide (NO2),14.61424758
2023,Flushing - Clearview,Fine particles (PM 2.5),6.679315199
2023,Lower Manhattan,Nitrogen dioxide (NO2),21.60881394
2023,Union Square - Lower East Side,Nitrogen dioxide (NO2),18.96783053
2023,Central Harlem - Morningside Heights,Nitrogen dioxide (NO2),16.29410694
2023,Coney Island - Sheepshead Bay,Nitrogen dioxide (NO2),13.9507122
2023,Port Richmond,Nitrogen dioxide (NO2),16.2770395
2023,Rockaways,Fine particles (PM 2.5),6.126453405
2023,Bayside - Little Neck,Fine particles (PM 2.5),6.483274289
2023,Washington Heights,Nitrogen dioxide (NO2),17.0536503
2023,Flushing - Clearview,Nitrogen dioxide (NO2),15.33604753
2023,Bensonhurst - Bay Ridge,Fine particles (PM 2.5),6.474937547
2023,Greenpoint,Fine particles (PM 2.5),7.360784329
2023,Downtown - Heights - Slope,Nitrogen dioxide (NO2),18.2876131
2023,Bedford Stuyvesant - Crown Heights,Nitrogen dioxide (NO2),16.98747135
2023,Stapleton - St. George,Nitrogen dioxide (NO2),15.89623357
2023,West Queens,Nitrogen dioxide (NO2),18.4099093
2023,Borough Park,Nitrogen dioxide (NO2),16.34559611
2023,Willowbrook,Fine particles (PM 2.5),6.286520688
2023,Bedford Stuyvesant - Crown Heights,Fine particles (PM 2.5),6.819560152
2023,Kingsbridge - Riverdale,Fine particles (PM 2.5),6.800834953
2023,Sunset Park,Fine particles (PM 2.5),7.082294009
2023,Williamsburg - Bushwick,Fine particles (PM 2.5),7.22773619
2023,Rockaways,Nitrogen dioxide (NO2),9.382766304
2023,Sunset Park,Nitrogen dioxide (NO2),19.11270949
2023,Stapleton - St. George,Fine particles (PM 2.5),6.305643335
2023,East Harlem,Fine particles (PM 2.5),6.902077131
2023,Hunts Point - Mott Haven,Fine particles (PM 2.5),7.159500847
2023,Crotona -Tremont,Nitrogen dioxide (NO2),17.27046057
2023,Downtown - Heights - Slope,Fine particles (PM 2.5),7.157937732
2023,Canarsie - Flatlands,Fine particles (PM 2.5),6.421526367
2023,Fresh Meadows,Fine particles (PM 2.5),6.458741628
2023,West Queens,Fine particles (PM 2.5),7.068291669
2023,Bensonhurst - Bay Ridge,Nitrogen dioxide (NO2),16.38828037
2023,Pelham - Throgs Neck,Fine particles (PM 2.5),6.882374275
2023,Northeast Bronx,Fine particles (PM 2.5),6.809305105
2023,Chelsea - Clinton,Fine particles (PM 2.5),8.076770315
2023,East New York,Fine particles (PM 2.5),6.78513582
2023,Upper West Side,Fine particles (PM 2.5),6.873849365
2023,Greenpoint,Nitrogen dioxide (NO2),19.31599125
2023,Greenwich Village - SoHo,Fine particles (PM 2.5),7.89977574
2023,Port Richmond,Fine particles (PM 2.5),6.483942539
2023,South Beach - Tottenville,Fine particles (PM 2.5),6.119536019
2023,Long Island City - Astoria,Nitrogen dioxide (NO2),18.41015665
2023,Washington Heights,Fine particles (PM 2.5),6.983812181
2023,Crotona -Tremont,Fine particles (PM 2.5),6.999578038
2023,Union Square - Lower East Side,Fine particles (PM 2.5),7.488763093
2023,East New York,Nitrogen dioxide (NO2),17.34115089
2023,Chelsea - Clinton,Nitrogen dioxide (NO2),24.13254441
2023,East Flatbush - Flatbush,Fine particles (PM 2.5),6.575114657
2023,Williamsburg - Bushwick,Nitrogen dioxide (NO2),18.15983736
2023,Southeast Queens,Nitrogen dioxide (NO2),14.68926316
2023,Fresh Meadows,Nitrogen dioxide (NO2),15.19976227
2023,Coney Island - Sheepshead Bay,Fine particles (PM 2.5),6.353517613
2023,Borough Park,Fine particles (PM 2.5),6.58301364
2023,Pelham - Throgs Neck,Nitrogen dioxide (NO2),15.56944138
2023,Fordham - Bronx Pk,Nitrogen dioxide (NO2),15.00464812
2023,East Harlem,Nitrogen dioxide (NO2),16.33588174
2023,Hunts Point - Mott Haven,Nitrogen dioxide (NO2),17.52685837
2023,Canarsie - Flatlands,Nitrogen dioxide (NO2),14.86254075
2023,East Flatbush - Flatbush,Nitrogen dioxide (NO2),16.14575343
2023,Southwest Queens,Nitrogen dioxide (NO2),15.32807265
2023,Fordham - Bronx Pk,Fine particles (PM 2.5),6.836602443
2023,Southwest Queens,Fine particles (PM 2.5),6.516343941
2023,Jamaica,Fine particles (PM 2.5),6.589261584
2023,Southeast Queens,Fine particles (PM 2.5),6.386811098
2023,High Bridge - Morrisania,Nitrogen dioxide (NO2),17.0841194
2023,South Beach - Tottenville,Nitrogen dioxide (NO2),10.46443118
2023,Upper West Side,Nitrogen dioxide (NO2),18.37552079
2023,Central Harlem - Morningside Heights,Fine particles (PM 2.5),6.918861081
2023,Ridgewood - Forest Hills,Nitrogen dioxide (NO2),16.73212203
2023,Willowbrook,Nitrogen dioxide (NO2),12.776213
2023,Upper East Side,Nitrogen dioxide (NO2),18.98075633
2023,High Bridge - Morrisania,Fine particles (PM 2.5),6.910426411
2023,Gramercy Park - Murray Hill,Nitrogen dioxide (NO2),23.59502328
2022,Southwest Queens,Nitrogen dioxide (NO2),20.64938172
2022,Lower Manhattan,Nitrogen dioxide (NO2),24.03065331
2022,East Flatbush - Flatbush,Fine particles (PM 2.5),6.12954308
2022,Williamsburg - Bushwick,Nitrogen dioxide (NO2),23.81074216
2022,Downtown - Heights - Slope,Nitrogen dioxide (NO2),23.55155679
2022,Rockaways,Nitrogen dioxide (NO2),11.90192295
2022,Sunset Park,Nitrogen dioxide (NO2),24.34243033
2022,Port Richmond,Nitrogen dioxide (NO2),20.23958141
2022,Fresh Meadows,Fine particles (PM 2.5),5.874276315
2022,Sunset Park,Fine particles (PM 2.5),6.619823381
2022,Northeast Bronx,Nitrogen dioxide (NO2),17.57629674
2022,High Bridge - Morrisania,Nitrogen dioxide (NO2),21.5282083
2022,Bedford Stuyvesant - Crown Heights,Nitrogen dioxide (NO2),23.31389388
2022,Willowbrook,Fine particles (PM 2.5),5.592895831
2022,Canarsie - Flatlands,Nitrogen dioxide (NO2),19.46437805
2022,Greenwich Village - SoHo,Fine particles (PM 2.5),8.105953974
2022,West Queens,Nitrogen dioxide (NO2),22.48203662
2022,Stapleton - St. George,Nitrogen dioxide (NO2),19.53058121
2022,Chelsea - Clinton,Nitrogen dioxide (NO2),25.83280383
